"","slug_region","label_region","label","indicador","count"
"1","agua-de-dios","Agua de Dios","Agua de Dios","registros_region_total",3484
"2","alban-cund","Albán","Albán","registros_region_total",8282
"3","anapoima","Anapoima","Anapoima","registros_region_total",19289
"4","anolaima","Anolaima","Anolaima","registros_region_total",7996
"5","apulo","Apulo","Apulo","registros_region_total",13292
"6","arbelaez","Arbeláez","Arbeláez","registros_region_total",2538
"7","beltran","Beltrán","Beltrán","registros_region_total",4806
"8","bituima","Bituima","Bituima","registros_region_total",6278
"9","bojaca","Bojacá","Bojacá","registros_region_total",10600
"10","cabrera-cun","Cabrera","Cabrera","registros_region_total",5522
"11","cachipay","Cachipay","Cachipay","registros_region_total",3621
"12","cajica","Cajicá","Cajicá","registros_region_total",10902
"13","caparrapi","Caparrapí","Caparrapí","registros_region_total",3708
"14","caqueza","Cáqueza","Cáqueza","registros_region_total",2388
"15","carmen-de-carupa","Carmen de Carupa","Carmen de Carupa","registros_region_total",1865
"16","chaguani","Chaguaní","Chaguaní","registros_region_total",1327
"17","chia","Chía","Chía","registros_region_total",9178
"18","chipaque","Chipaque","Chipaque","registros_region_total",4600
"19","choachi","Choachí","Choachí","registros_region_total",16976
"20","choconta","Chocontá","Chocontá","registros_region_total",3875
"21","cogua","Cogua","Cogua","registros_region_total",9951
"22","cota","Cota","Cota","registros_region_total",58978
"23","cucunuba","Cucunubá","Cucunubá","registros_region_total",996
"24","el-colegio","El Colegio","El Colegio","registros_region_total",12445
"25","el-penon-cun","El Peñón","El Peñón","registros_region_total",7474
"26","el-rosal","El Rosal","El Rosal","registros_region_total",3113
"27","facatativa","Facatativá","Facatativá","registros_region_total",9680
"28","fomeque","Fómeque","Fómeque","registros_region_total",48997
"29","fosca","Fosca","Fosca","registros_region_total",378
"30","funza","Funza","Funza","registros_region_total",4109
"31","fuquene","Fúquene","Fúquene","registros_region_total",30063
"32","fusagasuga","Fusagasugá","Fusagasugá","registros_region_total",37164
"33","gachala","Gachalá","Gachalá","registros_region_total",3236
"34","gachancipa","Gachancipá","Gachancipá","registros_region_total",439
"35","gacheta","Gachetá","Gachetá","registros_region_total",1234
"36","gama","Gama","Gama","registros_region_total",1556
"37","girardot","Girardot","Girardot","registros_region_total",22387
"38","granada-cun","Granada","Granada","registros_region_total",10302
"39","guacheta","Guachetá","Guachetá","registros_region_total",1259
"40","guaduas","Guaduas","Guaduas","registros_region_total",17364
"41","guasca","Guasca","Guasca","registros_region_total",88295
"42","guataqui","Guataquí","Guataquí","registros_region_total",845
"43","guatavita","Guatavita","Guatavita","registros_region_total",50431
"44","guayabal-de-siquima","Guayabal de Síquima","Guayabal de Síquima","registros_region_total",13785
"45","guayabetal","Guayabetal","Guayabetal","registros_region_total",49938
"46","gutierrez","Gutiérrez","Gutiérrez","registros_region_total",1571
"47","jerusalen","Jerusalén","Jerusalén","registros_region_total",343
"48","junin","Junín","Junín","registros_region_total",8926
"49","la-calera","La Calera","La Calera","registros_region_total",82171
"50","la-mesa","La Mesa","La Mesa","registros_region_total",22608
"51","la-palma","La Palma","La Palma","registros_region_total",2275
"52","la-pena","La Peña","La Peña","registros_region_total",343
"53","la-vega-cun","La Vega","La Vega","registros_region_total",70715
"54","lenguazaque","Lenguazaque","Lenguazaque","registros_region_total",1016
"55","macheta","Machetá","Machetá","registros_region_total",2801
"56","madrid","Madrid","Madrid","registros_region_total",1366
"57","manta","Manta","Manta","registros_region_total",224
"58","medina","Medina","Medina","registros_region_total",25156
"59","mosquera-cun","Mosquera","Mosquera","registros_region_total",5726
"60","narino-cun","Nariño","Nariño","registros_region_total",1169
"61","nemocon","Nemocón","Nemocón","registros_region_total",1049
"62","nilo","Nilo","Nilo","registros_region_total",25265
"63","nimaima","Nimaima","Nimaima","registros_region_total",4398
"64","nocaima","Nocaima","Nocaima","registros_region_total",9693
"65","pacho","Pacho","Pacho","registros_region_total",31422
"66","paime","Paime","Paime","registros_region_total",2098
"67","pandi","Pandi","Pandi","registros_region_total",1568
"68","paratebueno","Paratebueno","Paratebueno","registros_region_total",7864
"69","pasca","Pasca","Pasca","registros_region_total",5054
"70","puerto-salgar","Puerto Salgar","Puerto Salgar","registros_region_total",3529
"71","puli","Pulí","Pulí","registros_region_total",2338
"72","quebradanegra","Quebradanegra","Quebradanegra","registros_region_total",4547
"73","quetame","Quetame","Quetame","registros_region_total",4474
"74","quipile","Quipile","Quipile","registros_region_total",573
"75","ricaurte-cun","Ricaurte","Ricaurte","registros_region_total",6068
"76","san-antonio-del-tequendama","San Antonio del Tequendama","San Antonio del Tequendama","registros_region_total",185176
"77","san-bernardo-cun","San Bernardo","San Bernardo","registros_region_total",2555
"78","san-cayetano-cun","San Cayetano","San Cayetano","registros_region_total",1534
"79","san-francisco-cun","San Francisco","San Francisco","registros_region_total",33071
"80","san-juan-de-rioseco","San Juan de Rioseco","San Juan de Rioseco","registros_region_total",6567
"81","sasaima","Sasaima","Sasaima","registros_region_total",9438
"82","sesquile","Sesquilé","Sesquilé","registros_region_total",24857
"83","sibate","Sibaté","Sibaté","registros_region_total",5894
"84","silvania","Silvania","Silvania","registros_region_total",11282
"85","simijaca","Simijaca","Simijaca","registros_region_total",188
"86","soacha","Soacha","Soacha","registros_region_total",87051
"87","sopo","Sopó","Sopó","registros_region_total",10165
"88","subachoque","Subachoque","Subachoque","registros_region_total",14905
"89","suesca","Suesca","Suesca","registros_region_total",5279
"90","supata","Supatá","Supatá","registros_region_total",35786
"91","susa","Susa","Susa","registros_region_total",6408
"92","sutatausa","Sutatausa","Sutatausa","registros_region_total",782
"93","tabio","Tabio","Tabio","registros_region_total",19531
"94","tausa","Tausa","Tausa","registros_region_total",14172
"95","tena","Tena","Tena","registros_region_total",28450
"96","tenjo","Tenjo","Tenjo","registros_region_total",3452
