label_region,"",slug_region,label,indicador,count
Almeida,1,almeida,Almeida,registros_region_total,702
Aquitania,2,aquitania,Aquitania,registros_region_total,22878
Arcabuco,3,arcabuco,Arcabuco,registros_region_total,27400
Belén,4,belen-boy,Belén,registros_region_total,7680
Berbeo,5,berbeo,Berbeo,registros_region_total,1598
Betéitiva,6,beteitiva,Betéitiva,registros_region_total,15
Boavita,7,boavita,Boavita,registros_region_total,467
Boyacá,8,boyaca-boy,Boyacá,registros_region_total,387
Briceño,9,briceno-boy,Briceño,registros_region_total,111
Buenavista,10,buenavista-boy,Buenavista,registros_region_total,114
Busbanzá,11,busbanza,Busbanzá,registros_region_total,126
Caldas,12,caldas-boy,Caldas,registros_region_total,316
Campohermoso,13,campohermoso,Campohermoso,registros_region_total,1593
Cerinza,14,cerinza,Cerinza,registros_region_total,6540
Chinavita,15,chinavita,Chinavita,registros_region_total,513
Chiquinquirá,16,chiquinquira,Chiquinquirá,registros_region_total,931
Chíquiza,17,chiquiza,Chíquiza,registros_region_total,3889
Chiscas,18,chiscas,Chiscas,registros_region_total,643
Chita,19,chita,Chita,registros_region_total,1020
Chitaraque,20,chitaraque,Chitaraque,registros_region_total,5450
Chivatá,21,chivata,Chivatá,registros_region_total,26
Chivor,22,chivor,Chivor,registros_region_total,1371
Ciénega,23,cienega,Ciénega,registros_region_total,3101
Cómbita,24,combita,Cómbita,registros_region_total,2635
Coper,25,coper,Coper,registros_region_total,124
Corrales,26,corrales,Corrales,registros_region_total,279
Covarachía,27,covarachia,Covarachía,registros_region_total,107
Cubará,28,cubara,Cubará,registros_region_total,6538
Cucaita,29,cucaita,Cucaita,registros_region_total,376
Cuítiva,30,cuitiva,Cuítiva,registros_region_total,3052
Duitama,31,duitama,Duitama,registros_region_total,21568
El Cocuy,32,el-cocuy,El Cocuy,registros_region_total,4324
El Espino,33,el-espino,El Espino,registros_region_total,101
Firavitoba,34,firavitoba,Firavitoba,registros_region_total,390
Floresta,35,floresta,Floresta,registros_region_total,139
Gachantivá,36,gachantiva,Gachantivá,registros_region_total,10750
Gámeza,37,gameza,Gámeza,registros_region_total,259
Garagoa,38,garagoa,Garagoa,registros_region_total,5466
Guacamayas,39,guacamayas,Guacamayas,registros_region_total,407
Guateque,40,guateque,Guateque,registros_region_total,1452
Guayatá,41,guayata,Guayatá,registros_region_total,732
Güicán de la Sierra,42,guican-de-la-sierra,Güicán de la Sierra,registros_region_total,5443
Iza,43,iza,Iza,registros_region_total,79
Jenesano,44,jenesano,Jenesano,registros_region_total,275
Jericó,45,jerico-boy,Jericó,registros_region_total,107
La Capilla,46,la-capilla,La Capilla,registros_region_total,783
La Uvita,47,la-uvita,La Uvita,registros_region_total,502
La Victoria,48,la-victoria-boy,La Victoria,registros_region_total,226
Labranzagrande,49,labranzagrande,Labranzagrande,registros_region_total,1630
Macanal,50,macanal,Macanal,registros_region_total,3428
Maripí,51,maripi,Maripí,registros_region_total,176
Miraflores,52,miraflores-boy,Miraflores,registros_region_total,12485
Mongua,53,mongua,Mongua,registros_region_total,8423
Monguí,54,mongui,Monguí,registros_region_total,3720
Moniquirá,55,moniquira,Moniquirá,registros_region_total,4592
Motavita,56,motavita,Motavita,registros_region_total,464
Muzo,57,muzo,Muzo,registros_region_total,1736
Nobsa,58,nobsa,Nobsa,registros_region_total,603
